Extraction no. ,River,Site Code,Grid ref.
1,River Colne,FB1,TL9843025946
2,,EB1,
3,River Colne,C01.1,TL7760834589
4,River Colne,C01.2,TL7760834589
5,River Colne,C01.3,TL7760834589
6,River Colne,C01.4,TL7760834589
7,River Colne,C01.5,TL7760834589
8,River Colne,C02.1,TL7831334794
9,River Colne,C02.2,TL7831334794
10,River Colne,C02.3,TL7831334794
11,River Colne,C02.4,TL7831334794
12,River Colne,C02.5,TL7831334794
13,River Colne,C03.1,TL8095131280
14,River Colne,C03.2,TL8095131280
15,River Colne,C03.3,TL8095131280
16,River Colne,C03.4,TL8095131280
17,River Colne,C03.5,TL8095131280
18,River Colne,C04.1,TL82862984
19,River Colne,C04.2,TL82862985
20,River Colne,C04.3,TL82862986
21,River Colne,C04.4,TL82862987
22,River Colne,C04.5,TL82862988
23,River Colne,C05.1,TL8467229839
24,River Colne,C05.2,TL8467229839
25,River Colne,C05.3,TL8467229839
26,River Colne,C05.4,TL8467229839
27,River Colne,C05.5,TL8467229839
28,River Colne,C06.1,TL8664328960
29,River Colne,C06.2,TL8664328960
30,River Colne,C06.3,TL8664328960
31,River Colne,C06.4,TL8664328960
32,River Colne,C06.5,TL8664328960
33,River Colne,C07.1,TL8848228379
34,River Colne,C07.2,TL8848228379
35,River Colne,C07.3,TL8848228379
36,River Colne,C07.4,TL8848228379
37,River Colne,C07.5,TL8848228379
38,River Colne,C08.1,TL9008327447
39,River Colne,C08.2,TL9008327447
40,River Colne,C08.3,TL9008327447
41,River Colne,C08.4,TL9008327447
42,River Colne,C08.5,TL9008327447
43,River Colne,FB2,
44,,EB2,
45,River Colne,C09.1,TL9202127106
46,River Colne,C09.2,TL9202127106
47,River Colne,C09.3,TL9202127106
48,River Colne,C09.4,TL9202127106
49,River Colne,C09.5,TL9202127106
50,River Colne,C10.1,TL9421927373
51,River Colne,C10.2,TL9421927373
52,River Colne,C10.3,TL9421927373
53,River Colne,C10.4,TL9421927373
54,River Colne,C10.5,TL9421927373
55,River Colne,C11.1,TL9484526904
56,River Colne,C11.2,TL9484526904
57,River Colne,C11.3,TL9484526904
58,River Colne,C11.4,TL9484526904
59,River Colne,C11.5,TL9484526904
60,River Colne,C12.1,TL9626426081
61,River Colne,C12.2,TL9626426081
62,River Colne,C12.3,TL9626426081
63,River Colne,C12.4,TL9626426081
64,River Colne,C12.5,TL9626426081
65,River Colne,C13.1,TL9745125573
66,River Colne,C13.2,TL9745125573
67,River Colne,C13.3,TL9745125573
68,River Colne,C13.4,TL9745125573
69,River Colne,C13.5,TL9745125573
70,River Colne,C14.1,TL9843025946
71,River Colne,C14.2,TL9843025946
72,River Colne,C14.3,TL9843025946
73,River Colne,C14.4,TL9843025946
74,River Colne,C14.5,TL9843025946
75,River Colne,C15.1,TL9302027197
76,River Colne,C15.2,TL9302027197
77,River Colne,C15.3,TL9302027197
78,River Colne,C15.4,TL9302027197
79,River Colne,C15.5,TL9302027197
80,River Blackwater,FB3,TL8494022362
81,,EB3,
82,River Blackwater,B01.1,TL6794333071
83,River Blackwater,B01.2,TL6794333071
84,River Blackwater,B01.3,TL6794333071
85,River Blackwater,B01.4,TL6794333071
86,River Blackwater,B02.1,TL6794333071
87,River Blackwater,B02.2,TL6794333071
88,River Blackwater,B02.3,TL6794333071
89,River Blackwater,B02.4,TL6794333071
90,River Blackwater,B03.1,TL6794333071
91,River Blackwater,B03.2,TL6794333071
92,River Blackwater,B03.3,TL6794333071
93,River Blackwater,B03.4,TL6794333071
94,River Blackwater,B04.1,TL6827132990
95,River Blackwater,B04.2,TL6827132990
96,River Blackwater,B04.3,TL6827132990
97,River Blackwater,B04.4,TL6827132990
98,River Blackwater,B04.5,TL6827132990
99,River Blackwater,B05.1,TL6846232832
100,River Blackwater,B05.2,TL6846232832
101,River Blackwater,B05.3,TL6846232832
102,River Blackwater,B05.4,TL6846232832
103,River Blackwater,B05.5,TL6846232832
104,River Blackwater,B05.6,TL6846232832
105,River Blackwater,B05.7,TL6846232832
106,River Blackwater,B05.8,TL6846232832
107,River Blackwater,B06.1,TL668314
108,River Blackwater,B06.2,TL668315
109,River Blackwater,B06.3,TL668316
110,River Blackwater,B06.4,TL668317
111,River Blackwater,B06.5,TL668318
112,River Blackwater,B07.1,TL7046430655
113,River Blackwater,B07.2,TL7046430655
114,River Blackwater,B07.3,TL7046430655
115,River Blackwater,B07.4,TL7046430655
116,River Blackwater,B07.5,TL7046430655
117,River Blackwater,B08.1,TL7204229582
118,River Blackwater,B08.2,TL7204229582
119,River Blackwater,B08.3,TL7204229582
120,River Blackwater,B08.4,TL7204229582
121,River Blackwater,B08.5,TL7204229582
122,River Blackwater,FB4,TL7346028118
123,,EB4,
124,River Blackwater,B09.1,TL7346028118
125,River Blackwater,B09.2,TL7346028118
126,River Blackwater,B09.3,TL7346028118
127,River Blackwater,B09.4,TL7346028118
128,River Blackwater,B09.5,TL7346028118
129,River Blackwater,B10.1,TL7634423931
130,River Blackwater,B10.2,TL7634423931
131,River Blackwater,B10.3,TL7634423931
132,River Blackwater,B10.4,TL7634423931
133,River Blackwater,B10.5,TL7634423931
134,River Blackwater,B11.1,TL8072223077
135,River Blackwater,B11.2,TL8072223077
136,River Blackwater,B11.3,TL8072223077
137,River Blackwater,B11.4,TL8072223077
138,River Blackwater,B11.5,TL8072223077
139,River Blackwater,B12.1,TL8494022362
140,River Blackwater,B12.2,TL8494022362
141,River Blackwater,B12.3,TL8494022362
142,River Blackwater,B12.4,TL8494022362
143,River Blackwater,B12.5,TL8494022362
144,River Blackwater,B13.1,TL8310013252
145,River Blackwater,B13.2,TL8310013252
146,River Blackwater,B13.3,TL8310013252
147,River Blackwater,B13.4,TL8310013252
148,River Blackwater,B13.5,TL8310013252
149,River Blackwater,B14.1,TL8226411644
150,River Blackwater,B14.2,TL8226411644
151,River Blackwater,B14.3,TL8226411644
152,River Blackwater,B14.4,TL8226411644
153,River Blackwater,B14.5,TL8226411644
154,River Blackwater,B15.1,TL8505807759
155,River Blackwater,B15.2,TL8505807759
156,River Blackwater,B15.3,TL8505807759
157,River Blackwater,B15.4,TL8505807759
158,River Blackwater,B15.5,TL8505807759
